ip,first_seen,last_seen,scan_count,country,scanner_types
204.76.203.69,2026-02-10 02:45:17,2026-02-10 09:46:11,10,NL,"adb-abuse, bots, cve-2020-10987"
102.22.20.125,2026-02-10 09:45:07,2026-02-10 10:00:14,9,GH,N/A
64.62.156.80,2026-02-10 01:00:10,2026-02-10 08:45:11,5,US,email
130.12.180.34,2026-02-10 09:46:32,2026-02-10 10:45:08,5,GB,N/A
34.158.168.101,2026-02-10 03:45:06,2026-02-10 10:00:08,5,NL,"bots, cve-2025-55182"
103.20.91.68,2026-02-10 02:00:16,2026-02-10 03:00:25,4,ID,cve-2025-55182
103.120.189.68,2026-02-10 01:45:54,2026-02-10 07:45:28,4,IN,cve-2025-55182
185.224.128.16,2026-02-10 01:00:26,2026-02-10 01:45:41,3,NL,ssh
165.22.72.144,2026-02-10 04:45:24,2026-02-10 04:45:32,3,DE,ssh
91.230.168.240,2026-02-10 01:45:57,2026-02-10 01:46:00,2,US,onyphe
199.45.154.112,2026-02-10 09:00:12,2026-02-10 09:00:14,2,US,N/A
5.63.151.118,2026-02-10 00:45:12,2026-02-10 00:45:15,2,GB,"PaloAlto, Rapid7"
109.123.117.231,2026-02-10 02:00:09,2026-02-10 02:00:11,2,GB,Rapid7
88.202.190.158,2026-02-10 01:45:18,2026-02-10 01:45:22,2,GB,Rapid7
62.171.166.40,2026-02-10 03:00:21,2026-02-10 03:00:23,2,US,"ssh, voip"
20.64.105.155,2026-02-10 04:45:20,2026-02-10 04:45:23,2,US,email
47.254.239.55,2026-02-10 05:00:17,2026-02-10 05:00:19,2,MY,ssh
45.135.193.11,2026-02-10 00:45:26,2026-02-10 02:45:13,2,DE,"bots, web"
47.85.49.48,2026-02-10 02:00:28,2026-02-10 02:00:32,2,US,"bruteforce, ssh"
87.236.176.53,2026-02-10 05:00:09,2026-02-10 05:00:11,2,GB,"bruteforce, dicom, ssh"
64.62.197.109,2026-02-10 02:45:31,2026-02-10 02:45:32,2,US,ssh
205.210.31.106,2026-02-10 01:45:16,2026-02-10 02:00:25,2,US,PaloAlto
47.90.209.221,2026-02-10 03:45:16,2026-02-10 03:45:18,2,US,"PaloAlto, ssh"
185.247.137.31,2026-02-10 05:00:13,2026-02-10 05:00:15,2,GB,ssh
85.217.140.16,2026-02-10 04:00:07,2026-02-10 04:00:11,2,FR,N/A
64.62.197.212,2026-02-10 05:45:16,2026-02-10 05:45:18,2,US,ssh
47.236.150.68,2026-02-10 09:00:07,2026-02-10 09:00:09,2,SG,N/A
205.169.39.57,2026-02-10 11:00:04,2026-02-10 11:00:06,2,US,N/A
86.54.31.42,2026-02-10 02:00:07,2026-02-10 11:00:07,2,NL,"email, ssh"
88.202.190.151,2026-02-10 01:45:10,2026-02-10 01:45:13,2,GB,Rapid7
104.248.195.123,2026-02-10 01:45:24,2026-02-10 01:45:26,2,NL,"Rapid7, ssh"
195.184.76.228,2026-02-10 00:00:12,2026-02-10 00:00:17,2,US,onyphe
5.63.151.117,2026-02-10 00:45:22,2026-02-10 00:45:25,2,GB,Rapid7
82.165.66.87,2026-02-10 07:45:16,2026-02-10 07:45:18,2,DE,N/A
